payment_id,payment_order_id,payment_amount,payment_fee,payment_method,payment_status
4453633,69370939,80000,0,VOUCHER,PAID
4453634,69371049,247200,4960,ONLINE,PAID
4453647,69371363,103200,1560,ONLINE,PAID
4453648,69371363,40000,0,VOUCHER,PAID
4453649,69371401,490800,13240,ONLINE,PAID
4453651,69371402,247200,6680,ONLINE,PAID
4453650,69371403,470800,12720,ONLINE,PAID
4453653,69371433,115600,1720,ONLINE,PAID
4454698,69371453,137600,0,MEAL_BENEFIT,PAID
4454428,69371557,59600,880,CREDIT_STORE,PAID
4454543,69371648,228000,0,MEAL_BENEFIT,PAID
4454211,69371674,485200,9720,DEBIT,PAID
4453662,69371766,181600,2720,ONLINE,PAID
4454200,69371997,132200,0,MEAL_BENEFIT,PAID
4453667,69372078,12000,0,VOUCHER,PAID
4454227,69372078,334800,5040,DEBIT_STORE,PAID
4453668,69372181,210400,0,ONLINE,PAID
4460426,69372195,132200,0,MEAL_BENEFIT,PAID
4453670,69372214,171200,2560,ONLINE,PAID
4453672,69372289,115600,1720,ONLINE,PAID
4453674,69372387,385200,10400,ONLINE,PAID
4453977,69372391,198400,2960,DEBIT,PAID
4453675,69372429,295600,3840,ONLINE,PAID
4453676,69372467,486000,7280,ONLINE,PAID
4454198,69372782,83600,1240,DEBIT,PAID
4453681,69372784,996000,26880,ONLINE,PAID
4453682,69372854,146800,2200,ONLINE,PAID
4453683,69372856,135600,2040,ONLINE,PAID
4453686,69373311,40000,0,VOUCHER,PAID
4454003,69373311,89600,1360,DEBIT,PAID
4453689,69373498,585200,15800,ONLINE,PAID
4453690,69373577,287200,7760,ONLINE,PAID
4453696,69373687,314800,4080,ONLINE,PAID
4453701,69373856,131600,1960,ONLINE,PAID
4453702,69373856,48000,0,VOUCHER,PAID
4453703,69373893,247200,6680,ONLINE,PAID
4453715,69373922,153600,2320,VOUCHER_DC,PAID
4454749,69373967,187200,0,MEAL_BENEFIT,PAID
4453707,69373979,106800,1600,ONLINE,PAID
4453708,69373979,100000,0,VOUCHER,PAID
4453709,69373992,71600,1080,ONLINE,PAID
4453710,69373992,48000,0,VOUCHER,PAID
4453716,69374259,115600,1520,ONLINE,PAID
4453722,69374502,79640,1600,ONLINE,PAID
4453724,69374559,300000,4520,ONLINE,PAID
4453725,69374602,171200,2560,ONLINE,PAID
4453726,69374634,287200,7760,ONLINE,PAID
4453727,69374713,574000,15480,ONLINE,PAID
4453989,69374714,157600,2360,DEBIT,PAID
4453736,69374987,111200,1680,ONLINE,PAID
4453997,69375005,318800,4480,DEBIT,PAID
4453741,69375046,521200,14080,ONLINE,PAID
4453742,69375047,97800,1480,ONLINE,PAID
4453743,69375047,48000,0,VOUCHER,PAID
4453745,69375064,182800,2760,ONLINE,PAID
4453746,69375065,287200,7760,ONLINE,PAID
4453752,69375197,255200,3320,ONLINE,PAID
4453753,69375213,294800,4120,ONLINE,PAID
4453755,69375309,139200,2080,ONLINE,PAID
4453756,69375319,128000,1920,ONLINE,PAID
4453757,69375319,32000,0,VOUCHER,PAID
4453761,69375541,279600,5600,ONLINE,PAID
4453764,69375720,64000,960,ONLINE,PAID
4453765,69375821,710400,19200,ONLINE,PAID
4453766,69375827,108000,1640,ONLINE,PAID
4453777,69376707,67200,1000,ONLINE,PAID
4453778,69376707,40000,0,VOUCHER,PAID
4453786,69376906,247200,3720,ONLINE,PAID
4453789,69376959,263200,0,ONLINE,PAID
4453792,69376994,1056800,28520,ONLINE,PAID
4453796,69377064,588800,8840,ONLINE,PAID
4460152,69377065,175200,2640,DEBIT,PAID
4453801,69377171,89200,1240,ONLINE,PAID
4453802,69377171,80000,0,VOUCHER,PAID
4453803,69377205,299200,4200,ONLINE,PAID
4454044,69377233,139600,2080,DEBIT,PAID
4453807,69377266,143200,2160,ONLINE,PAID
4453809,69377278,135600,2040,ONLINE,PAID
4453810,69377422,116600,1760,ONLINE,PAID
4453811,69377422,40000,0,VOUCHER,PAID
4453815,69377536,133800,2000,ONLINE,PAID
4453816,69377536,48000,0,VOUCHER,PAID
4453817,69377568,123600,1840,ONLINE,PAID
4453820,69377632,187560,2800,ONLINE,PAID
4453824,69377695,147600,10320,ONLINE,PAID
4453831,69377695,147640,10320,ONLINE,PAID
4453829,69377881,132440,2000,ONLINE,PAID
4453832,69377881,132480,2000,ONLINE,PAID
4453834,69377972,274800,7400,ONLINE,PAID
4453836,69377982,173200,2600,ONLINE,PAID
4453837,69377983,187200,2640,ONLINE,PAID
4453843,69378014,528000,7920,ONLINE,PAID
4453848,69378126,243200,3640,ONLINE,PAID
4453850,69378186,71600,1080,ONLINE,PAID
4454155,69378187,159560,2400,DEBIT,PAID
4453852,69378224,355600,4960,ONLINE,PAID
4454305,69378276,176800,0,MEAL_BENEFIT,PAID
4453858,69378306,161600,2440,ONLINE,PAID
4453859,69378308,274800,7400,ONLINE,PAID
4453862,69378343,391200,5880,ONLINE,PAID
4453863,69378343,40000,0,VOUCHER,PAID
4454028,69378365,415200,6240,CREDIT,PAID
4454054,69378426,178800,2680,DEBIT,PAID
4453868,69378487,222800,3360,ONLINE,PAID
4453871,69378559,163200,2440,ONLINE,PAID
4453874,69378634,220800,2880,ONLINE,PAID
4453880,69378792,135560,2040,ONLINE,PAID
4453881,69378810,179600,2680,ONLINE,PAID
4453887,69378910,187200,2800,ONLINE,PAID
4453893,69379084,127600,1640,ONLINE,PAID
4453896,69379137,1111200,16680,ONLINE,PAID
4453897,69379175,120000,0,VOUCHER,PAID
4457452,69379175,9600,200,PAYMENT_LINK,PAID
4453898,69379187,139600,2080,ONLINE,PAID
4453899,69379204,151200,2280,ONLINE,PAID
4453902,69379342,379000,10240,ONLINE,PAID
4454124,69379500,155560,2320,DEBIT,PAID
4453910,69379561,40000,0,VOUCHER,PAID
4454118,69379561,119600,1800,CREDIT,PAID
4453913,69379589,79600,1200,ONLINE,PAID
4453914,69379589,48000,0,VOUCHER,PAID
